NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  28 GTMIN     3.61  7 2018  7 2018                                                                                                                                                                     
  28 IPTER    74.19  1 2020  1 2020                                                                                                                                                                     
  28 IPTER     0.00  2 2020 12 2020                                                                                                                                                                     
  28 IPTER    74.19  1 2021  1 2021                                                                                                                                                                     
  28 GTMIN     5.67 10 2018 10 2018                                                                                                                                                                     
  28 IPTER     0.00  2 2021 12 2021                                                                                                                                                                     
  28 GTMIN    10.35 11 2018 12 2018                                                                                                                                                                     
  28 IPTER    74.19  1 2022  1 2022                                                                                                                                                                     
  28 GTMIN     2.66  1 2019  1 2019                                                                                                                                                                     
  28 IPTER     0.00  2 2022                                                                                                                                                                             
  28 GTMIN    10.35  2 2019 12 2019                                                                                                                                                                     
  28 GTMIN     2.66  1 2020  1 2020                                                                                                                                                                     
  28 GTMIN    10.35  2 2020 12 2020                                                                                                                                                                     
  28 GTMIN     2.66  1 2021  1 2021                                                                                                                                                                     
  28 GTMIN    10.35  2 2021 12 2021                                                                                                                                                                     
  28 GTMIN     2.66  1 2022  1 2022                                                                                                                                                                     
  28 GTMIN    10.35  2 2022                                                                                                                                                                             
  26 POTEF   100.00  1 2018          J.LACERDA A1                                                                                                                                                       
  26 FCMAX    30.00  1 2018  1 2018                                                                                                                                                                     
  26 GTMIN    11.29  1 2018  1 2018                                                                                                                                                                     
  26 FCMAX     0.00  2 2018  3 2018                                                                                                                                                                     
  26 FCMAX    30.00  4 2018  1 2019                                                                                                                                                                     
  26 FCMAX     0.00  2 2019  3 2019                                                                                                                                                                     
  26 GTMIN    22.58  4 2018 12 2018                                                                                                                                                                     
  26 FCMAX    25.00  4 2019 12 2019                                                                                                                                                                     
  26 GTMIN    17.65  1 2019  1 2019                                                                                                                                                                     
  26 FCMAX    30.00  1 2020  1 2020                                                                                                                                                                     
  26 FCMAX     0.00  2 2020  3 2020                                                                                                                                                                     
  26 FCMAX    25.00  4 2020 12 2020                                                                                                                                                                     
  26 GTMIN    14.71  4 2019 12 2019                                                                                                                                                                     
  26 FCMAX    30.00  1 2021  1 2021                                                                                                                                                                     
  26 GTMIN    17.65  1 2020  1 2020                                                                                                                                                                     
  26 FCMAX     0.00  2 2021  3 2021                                                                                                                                                                     
  26 FCMAX    25.00  4 2021 12 2021                                                                                                                                                                     
  26 FCMAX    30.00  1 2022  1 2022                                                                                                                                                                     
  26 GTMIN    14.71  4 2020 12 2020                                                                                                                                                                     
  26 FCMAX     0.00  2 2022  3 2022                                                                                                                                                                     
  26 GTMIN    17.65  1 2021  1 2021                                                                                                                                                                     
  26 FCMAX    25.00  4 2022                                                                                                                                                                             
  26 GTMIN    14.71  4 2021 12 2021                                                                                                                                                                     
  26 GTMIN    17.65  1 2022  1 2022                                                                                                                                                                     
  26 GTMIN    14.71  4 2022                                                                                                                                                                             
  27 POTEF   132.00  1 2018          J.LACERDA A2                                                                                                                                                       
  27 FCMAX    90.91  1 2018                                                                                                                                                                             
  27 GTMIN  0040.00  1 2018  1 2018                                                                                                                                                                     
  27 GTMIN  0000.00  2 2018  3 2018                                                                                                                                                                     
  27 GTMIN  0038.00  4 2018  4 2018                                                                                                                                                                     
  27 GTMIN  0038.00  5 2018  5 2018                                                                                                                                                                     
  27 GTMIN    71.00  6 2018 12 2018                                                                                                                                                                     
  27 GTMIN    94.57  1 2019  1 2019                                                                                                                                                                     
  27 GTMIN  0000.00  2 2019  3 2019                                                                                                                                                                     
  27 GTMIN    66.00  4 2019  6 2019                                                                                                                                                                     
  27 GTMIN    33.00  7 2019 10 2019                                                                                                                                                                     
  27 GTMIN    33.00 11 2019 12 2019                                                                                                                                                                     
  27 GTMIN    94.57  1 2020  1 2020                                                                                                                                                                     
  27 GTMIN  0000.00  2 2020  3 2020                                                                                                                                                                     
  27 GTMIN    66.00  4 2020  6 2020                                                                                                                                                                     
  27 GTMIN  0033.00  7 2020 10 2020                                                                                                                                                                     
  27 GTMIN  0033.00 11 2020 12 2020                                                                                                                                                                     
  27 GTMIN    94.57  1 2021  1 2021                                                                                                                                                                     
  27 GTMIN  0000.00  2 2021  3 2021                                                                                                                                                                     
  27 GTMIN    66.00  4 2021  6 2021                                                                                                                                                                     
  27 GTMIN  0033.00  7 2021 10 2021                                                                                                                                                                     
  27 GTMIN  0033.00 11 2021 12 2021                                                                                                                                                                     
  27 GTMIN    94.57  1 2022  1 2022                                                                                                                                                                     
  27 GTMIN  0000.00  2 2022  3 2022                                                                                                                                                                     
  27 GTMIN    66.00  4 2022  6 2022                                                                                                                                                                     
  27 GTMIN  0033.00  7 2022 10 2022                                                                                                                                                                     
  27 GTMIN  0033.00 11 2022                                                                                                                                                                             
  25 POTEF   262.00  1 2018          J.LACERDA B                                                                                                                                                        
  25 FCMAX    91.60  1 2018                                                                                                                                                                             
  25 GTMIN  0208.00  1 2018  1 2018                                                                                                                                                                     
  25 GTMIN  0000.00  2 2018  3 2018                                                                                                                                                                     
  25 GTMIN  0208.00  4 2018  6 2018                                                                                                                                                                     
  25 GTMIN  0104.00  7 2018  7 2018                                                                                                                                                                     
  25 GTMIN  0104.00  8 2018 10 2018                                                                                                                                                                     
  25 GTMIN  0104.00 11 2018 11 2018                                                                                                                                                                     
  25 GTMIN  0208.00 12 2018 12 2018                                                                                                                                                                     
  25 GTMIN   178.14  1 2019  1 2019                                                                                                                                                                     
  25 GTMIN  0000.00  2 2019  3 2019                                                                                                                                                                     
  25 GTMIN   178.14  4 2019 11 2019                                                                                                                                                                     
  25 GTMIN  0150.00 12 2019 12 2019                                                                                                                                                                     
  25 GTMIN   178.14  1 2020  1 2020                                                                                                                                                                     
  25 GTMIN  0000.00  2 2020  3 2020
  25 GTMIN   178.14  4 2020 11 2020                                                                                                                                                                     
  25 GTMIN  0150.00 12 2020 12 2020
  25 GTMIN   178.14  1 2021  1 2021
  25 GTMIN  0000.00  2 2021  3 2021
  25 GTMIN   178.14  4 2021 11 2021
  25 GTMIN  0150.00 12 2021 12 2021
  25 GTMIN   178.14  1 2022  1 2022
  25 GTMIN  0000.00  2 2022  3 2022
  25 GTMIN   178.14  4 2022 11 2022
  25 GTMIN  0150.00 12 2022  
  24 POTEF   363.00  1 2018          J.LACERDA C                                                                                                                                                        
  24 FCMAX    92.29  1 2018                                                                                                                                                                             
  24 GTMIN  0296.00  1 2018  1 2018                                                                                                                                                                     
  24 GTMIN  0000.00  2 2018  3 2018                                                                                                                                                                     
  24 GTMIN  0296.00  4 2018 12 2018                                                                                                                                                                     
  24 GTMIN   262.47  1 2019  1 2019                                                                                                                                                                     
