NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 164 POTEF   147.16  6 2019 12 2023
 138 POTEF    13.12  6 2019 12 2023
 138 FCMAX     0.00  6 2019  7 2020
 138 FCMAX   100.00  8 2020 12 2023
 167 POTEF   720.28  6 2019 12 2023
 224 POTEF  1515.64  1 2020 12 2023
 160 POTEF    94.08  6 2019 12 2023
 160 IPTER     0.10  6 2019 12 2023
 162 POTEF   143.08 11 2020 12 2023
  98 POTEF   200.79  6 2019 12 2023
  98 FCMAX    56.56  6 2019  6 2019
  98 FCMAX    60.90  7 2019  7 2019
  98 FCMAX    65.26  8 2019  9 2019
  98 FCMAX    69.61 10 2019 10 2019
  98 FCMAX    73.96 11 2019 11 2019
  98 FCMAX    82.66 12 2019 12 2019
  98 FCMAX   100.00  1 2020 12 2023
 144 POTEF   136.20  6 2019 12 2023
 144 FCMAX    96.92  6 2019 12 2023
 151 POTEF    53.12  6 2019 12 2023
 161 POTEF    66.40  6 2019 12 2023
 161 FCMAX    82.50  6 2019 12 2023
 147 POTEF    28.02  6 2019 12 2023
 170 POTEF   381.26  6 2019 12 2023
 170 IPTER     0.76  1 2020  1 2020
 170 IPTER     1.01  2 2020  2 2020
 170 IPTER     1.52  3 2020  3 2020
 170 IPTER     0.39  4 2020  4 2020
 170 IPTER     0.76  5 2020  5 2020
 170 IPTER     1.57  6 2020  6 2020
 170 IPTER     0.57  7 2020  7 2020
 170 IPTER     0.95  8 2020  8 2020
 170 IPTER     1.18  9 2020  9 2020
 170 IPTER     1.90 10 2020 10 2020
 170 IPTER     0.59 11 2020 11 2020
 170 IPTER     2.47 12 2020 12 2020
 170 IPTER     2.28  1 2021  1 2021
 170 IPTER     0.63  2 2021  2 2021
 170 IPTER     0.76  3 2021  3 2021
 170 IPTER     2.55  4 2021  4 2021
 170 IPTER     0.57  5 2021  5 2021
 170 IPTER     0.78  6 2021  6 2021
 170 IPTER     0.57  7 2021  7 2021
 170 IPTER     2.66  8 2021  8 2021
 170 IPTER     0.98  9 2021  9 2021
 170 IPTER     0.95 10 2021 10 2021
 170 IPTER     2.35 11 2021 11 2021
 170 IPTER     1.33 12 2021  1 2022
 170 IPTER     1.47  2 2022  2 2022
 170 IPTER     2.85  3 2022  3 2022
 170 IPTER     0.20  4 2022  4 2022
 170 IPTER     1.71  5 2022  5 2022
 170 IPTER     3.14  6 2022  6 2022
 170 IPTER     0.76  7 2022  7 2022
 170 IPTER     0.57  8 2022  8 2022
 170 IPTER     4.71  9 2022  9 2022
 170 IPTER     0.95 10 2022 10 2022
 170 IPTER     0.20 11 2022 11 2022
 170 IPTER     1.90 12 2022 12 2022
 170 IPTER     3.04  1 2023  1 2023
 170 IPTER     1.47  2 2023  2 2023
 170 IPTER     0.57  3 2023  3 2023
 170 IPTER     7.25  4 2023  4 2023
 170 IPTER     1.71  5 2023  5 2023
 170 IPTER     1.37  6 2023  6 2023
 170 IPTER     0.76  7 2023  7 2023
 170 IPTER     2.66  8 2023  8 2023
 170 IPTER     0.39  9 2023  9 2023
 170 IPTER     1.33 10 2023 10 2023
 170 IPTER     3.14 11 2023 11 2023
 170 IPTER     1.33 12 2023 12 2023
  43 POTEF   185.90  6 2019 12 2023
  43 FCMAX    85.50  6 2019 12 2023
 152 POTEF    49.73  6 2019 12 2023
 159 POTEF   143.04  6 2019 12 2023
  67 POTEF   170.85  6 2019 12 2023
  69 POTEF   170.85  6 2019 12 2023
  96 POTEF   532.76  6 2019 12 2023
  96 GTMIN   348.80  6 2019  3 2020
  96 GTMIN   296.41  4 2020  4 2020
  96 GTMIN   302.78  5 2020  5 2020
  96 GTMIN   348.80  6 2020  3 2021
  96 GTMIN   329.36  4 2021  4 2021
  96 GTMIN   348.80  5 2021  3 2022
  96 GTMIN   329.36  4 2022  4 2022
  96 GTMIN   348.80  5 2022  4 2023
  96 GTMIN   192.66  5 2023  5 2023
  96 GTMIN   348.80  6 2023 12 2023
  96 IPTER     0.00  1 2020  3 2020
  96 IPTER    40.00  4 2020  4 2020
  96 IPTER    38.71  5 2020  5 2020
  96 IPTER     0.00  6 2020  3 2021
  96 IPTER    33.33  4 2021  4 2021
  96 IPTER    12.90  5 2021  5 2021
  96 IPTER     0.00  6 2021  3 2022
  96 IPTER    33.33  4 2022  4 2022
  96 IPTER    12.90  5 2022  5 2022
  96 IPTER     0.00  6 2022  3 2023
  96 IPTER    20.33  4 2023  4 2023
  96 IPTER    61.00  5 2023  5 2023
  96 IPTER     8.13  6 2023  6 2023
  96 IPTER     0.00  7 2023 12 2023
  83 POTEF   367.90  6 2019 12 2023
  83 FCMAX    42.15  6 2019 12 2023
 201 POTEF   166.00  6 2019 12 2023
 201 GTMIN    75.00  6 2019  7 2019
 201 GTMIN    75.00  8 2019  8 2019
 201 GTMIN    75.00  9 2019  9 2019
 201 GTMIN    75.00 10 2019 10 2019
 201 GTMIN    75.00 11 2019 11 2019
 201 GTMIN    75.00 12 2019 12 2019
 201 GTMIN    75.00  1 2020  4 2020
 201 GTMIN    75.00  5 2020  5 2020
 201 GTMIN    75.00  6 2020  6 2020
 201 GTMIN    75.00  7 2020  7 2020
 201 GTMIN    75.00  8 2020  8 2020
 201 GTMIN    75.00  9 2020 12 2020
 201 GTMIN    75.00  1 2021  1 2021
 201 GTMIN    75.00  2 2021  2 2021
 201 GTMIN    75.00  3 2021  3 2021
 201 GTMIN    75.00  4 2021  4 2021
